term	ONEA	CENT	MACR
PfamPF13855	3.4081979675260467e-4	0.0254318429810244	-0.8854294893255837
PfamPF00249	0.14416162799228696	0.03746907769295148	-0.827156734498838
PfamPF00141	0.871582570476338	-0.1558501759434294	0.08028584087657369
PfamPF02458	0.040334936810496734	-0.06264731233771276	-0.4164076596844214
PfamPF00069	0.014153742281903978	0.03255148162728693	-0.7892506371357602
PfamPF07714	0.014097062004683721	-0.14860214374705272	-0.6984362873889517
PfamPF02365	0.11920352332448632	-0.3210111223308689	-0.8077624743886979
PfamPF00076	0.5356191050899626	0.34697809863284684	-0.777336800392297
PfamPF00201	0.2567911067162206	0.6713268363791182	-0.665304371348288
PfamPF07859	0.3059997212913266	-0.0875982822766924	-0.31364053580255447
PfamPF00462	0.2666365819613614	0.2760771347610993	-0.7695929199166187
PfamPF00664	0.5661172396681415	-0.029160707235763958	-0.6377340719374593
PfamPF00005	0.5670848972133101	NA	-0.3746108215025722
PfamPF00854	0.13363063416778176	0.8262032073924995	NA
PfamPF00534	0.729789347808145	1.4839122558689235	0.5384082845168279
PfamPF01501	1.4878806375999547	0.5968915109518504	-0.4757569693909909
PfamPF00122	0.6781012401586175	-0.2778136901135773	-0.9590390443402315
PfamPF01487	0.38924635557181314	-0.15057717459656547	-0.24553539065869895
PfamPF08501	0.38976647847570567	-0.15057717459656567	-0.24553539065869892
PfamPF00560	NA	-0.014288157193443571	-1.030121401180479
