rowname	numDF	denDF	fval	pval	pval.adj	key
(Intercept)	1	1340	12.892165275442748	3.418796976877303e-4	0.0013675187907509212	*
Treatment	1	1340	4.105059289406514	0.042952883881769655	0.08590576776353931	ns
time	1	1340	58.4959567384452	3.863576125695545e-14	3.090860900556436e-13	*
Family	5	1340	1.3401981616608656	0.24459150593400436	0.2795331496388621	ns
Treatment:time	1	1340	6.180893980748668	0.013034783297494856	0.03475942212665295	*
Treatment:Family	5	1340	1.4381436881883478	0.20762827418406204	0.2768376989120827	ns
time:Family	5	1340	0.7436081249915889	0.590829399910832	0.590829399910832	ns
Treatment:time:Family	5	1340	2.0356347058228748	0.07106666957633445	0.11370667132213513	ns
