rowname	numDF	denDF	fval	pval	pval.adj	key
(Intercept)	1	5758	54.91141447678841	1.4432899320127035e-13	2.886579864025407e-13	*
Treatment	1	5758	1.173041191364634	0.27882258902383206	0.27882258902383206	ns
time	1	5758	373.9806512663566	0	0	*
Family	5	5758	24.586313458026556	0	0	*
Treatment:time	1	5758	20.9504415671514	4.8122318117016505e-6	5.4996934990876004e-6	*
Treatment:Family	5	5758	27.789333666873567	0	0	*
time:Family	5	5758	6.60995644493576	3.826106803161977e-6	5.101475737549302e-6	*
Treatment:time:Family	5	5758	8.847543245489433	2.2310829850269442e-8	3.569732776043111e-8	*
