"","Locality","Accession","Latitude","Longitude","Elevation (m)","tmax","tmax_sum","tmin","tmin_winter","ppt","cwd","aet","bioclim_01","bioclim_02","bioclim_03","bioclim_04","bioclim_05","bioclim_06","bioclim_07","bioclim_08","bioclim_09","bioclim_10","bioclim_11","bioclim_12","bioclim_13","bioclim_14","bioclim_15","bioclim_16","bioclim_17","bioclim_18","bioclim_19","tmax_jan","tmax_feb","tmax_mar","tmax_apr","tmax_may","tmax_jun","tmax_jul","tmax_aug","tmax_sep","tmax_oct","tmax_nov","tmax_dec","tmin_jan","tmin_feb","tmin_mar","tmin_apr","tmin_may","tmin_jun","tmin_jul","tmin_aug","tmin_sep","tmin_oct","tmin_nov","tmin_dec","ppt_jan","ppt_feb","ppt_mar","ppt_apr","ppt_may","ppt_jun","ppt_jul","ppt_aug","ppt_sep","ppt_oct","ppt_nov","ppt_dec","tave","PC1","PC2"
"1","ALH",1,37.9699,-122.1697,176,20.7613919913331,27.5769426163741,8.14645337602512,4.26175565093536,602.359799413657,821.55298485829,370.614903276499,14.4670968405581,12.641918122631,0.506961402577518,4.6423996676201,28.5825484924699,3.64590034064535,24.9366481518245,8.76416583860986,19.6713986719504,20.1465871223936,8.76416583860986,602.357842594341,129.640943798816,1.1427454838836,0.91652219958158,331.649006353594,7.16052732208002,9.598529171404,331.649006353594,12.2075163093163,14.9660503196487,16.7633922149671,19.4224145839444,22.4695804513343,25.6810185346658,28.5825484924699,28.4672616752046,27.4597120650871,23.4935828146822,17.2451999068128,12.6983934543502,3.64590034064535,4.87337112812259,5.51274324020554,6.83362992713406,8.90251797862084,10.9946004750947,11.922178621319,12.3807842329486,12.0670376473325,9.7695885032137,6.65753777669827,4.1937634795758,129.640943798816,91.2737838996959,77.8643870186098,48.1999235110189,11.4433236828832,3.83999860186618,1.1427454838836,2.17778323633023,6.27800045119015,46.2806596173453,73.4820146376196,110.734278655081,24.8346186793457,-1.01070940590658,1.90828898264873
"2","ALH",2,37.96964,-122.17619,199,20.5879419034916,27.2350581886575,8.32724478890199,4.52228328556174,606.250115795828,821.271701065928,373.187369480818,14.4693496976772,12.2908706654415,0.50636560395234,4.52051554814971,28.1872609704882,3.91454068793454,24.2727202825536,8.89924084213953,19.4974560003744,19.9990619746782,8.89924084213953,606.250955840554,133.277501752431,1.14115087474288,0.91941644974624,334.091117553282,7.7956523310216,10.4299547423162,334.091117553282,12.2213035119113,14.9691080622323,16.7587336357275,19.1303054060102,22.20789426894,25.4180801560817,28.1872609704882,28.0997913508883,27.1684122981972,23.2580735899311,17.250739731525,12.7077173828428,3.91454068793454,5.09776826627138,5.74936895725347,7.06539368280414,9.07115315806488,10.9522673646534,11.8469905136228,12.4803456465119,12.2115710683611,10.0441479476376,6.96841794471801,4.48500714164463,133.277501752431,91.1880971575397,78.7669247049057,48.6100827424704,11.4478453032852,4.30786362554052,1.14115087474288,2.34663783073819,6.94216603683515,44.109927883332,74.4872392854215,109.625518643311,24.7515642979426,-1.09719044571399,2.11714782019559
"3","ALH",3,37.96985,-122.17661,202,20.5781294985038,27.2231114415065,8.49549971602395,4.78992381195618,606.609327929703,843.608726985435,360.525181616525,14.5493129987329,12.1121201531604,0.504256377309701,4.47775380425787,28.1967245218587,4.17695858894036,24.0197659329183,9.03516362379717,19.5103798538075,20.0395000223866,9.03516362379717,606.614319343354,133.03871703927,1.13746779807972,0.919983444703613,334.258209506308,7.60044476781972,10.2266845904014,334.258209506308,12.2187662680735,14.9992929158735,16.7511634941495,19.1428846409645,22.1687403192136,25.3569189975732,28.1967245218587,28.1155224768965,27.1711794291286,23.241908027839,17.2090136215028,12.6923621906836,4.17695858894036,5.41436783041238,5.96321462514108,7.25091226996942,9.19702314674902,10.9601382255061,11.9000611990051,12.5329137020056,12.3205988054253,10.2509726914588,7.24264003241982,4.70923394879946,133.03871703927,91.1309999976689,78.925700476699,48.5908717903225,11.5366648649688,4.18079604891404,1.13746779807972,2.28218092082596,6.80703587149575,44.1051124971903,74.7902795685496,110.088492469369,24.8258793565158,-0.964799860780208,2.24341257380694
"4","ALH",4,37.96935,-122.17589,198,20.5879419034916,27.2350581886575,8.32724478890199,4.52228328556174,606.250115795828,821.271701065928,373.187369480818,14.4693496976772,12.2908706654415,0.50636560395234,4.52051554814971,28.1872609704882,3.91454068793454,24.2727202825536,8.89924084213953,19.4974560003744,19.9990619746782,8.89924084213953,606.250955840554,133.277501752431,1.14115087474288,0.91941644974624,334.091117553282,7.7956523310216,10.4299547423162,334.091117553282,12.2213035119113,14.9691080622323,16.7587336357275,19.1303054060102,22.20789426894,25.4180801560817,28.1872609704882,28.0997913508883,27.1684122981972,23.2580735899311,17.250739731525,12.7077173828428,3.91454068793454,5.09776826627138,5.74936895725347,7.06539368280414,9.07115315806488,10.9522673646534,11.8469905136228,12.4803456465119,12.2115710683611,10.0441479476376,6.96841794471801,4.48500714164463,133.277501752431,91.1880971575397,78.7669247049057,48.6100827424704,11.4478453032852,4.30786362554052,1.14115087474288,2.34663783073819,6.94216603683515,44.109927883332,74.4872392854215,109.625518643311,24.7515642979426,-1.09719044571399,2.11714782019559
"5","ALH",5,37.96534,-122.17293,146,20.6347172021502,27.3722732222774,8.26741338838863,4.5252187217224,610.620862171796,817.25733827302,373.76128903701,14.4651692708924,12.3978859995443,0.506980270689667,4.55367826182353,28.3602566585317,3.90588098296765,24.4543756755641,8.8806486782331,19.5460187661531,20.048950100703,8.8806486782331,610.615470571389,131.811897916653,1.14994350175348,0.914463816569408,335.347735558322,7.70236191982035,10.3458560184179,335.347735558322,12.172051551792,14.9348104833954,16.6973162639364,19.2473110774172,22.3151884265164,25.5057340856434,28.3602566585317,28.2508087171687,27.2897894053255,23.3480415184649,17.1742324125873,12.6738066471958,3.90588098296765,5.15472024684595,5.68580016272592,6.94758361580809,8.97594323231905,10.8810058713304,11.8487684755174,12.4295387887269,12.1145385589479,9.94511408361981,6.86319907743287,4.44262215720161,131.811897916653,91.6874287248769,79.2289461251501,49.0439167818149,11.4894573134108,4.2231728571555,1.14994350175348,2.32924556091136,6.86666695575306,46.3529719405154,74.5834139766022,111.848408916791,24.7684238963445,-1.07957687282541,2.03294619089582
"6","ALH",6,37.96543,-122.19367,146,20.8208339907297,27.435753164602,8.29932643144484,4.499409395073,597.304393772871,729.149513440028,459.938659628557,14.5740376603198,12.5398512314546,0.512611629840405,4.51672899988565,28.3119117277215,3.84923764567078,24.4626740820507,9.0100962869255,19.6086349597401,20.0682531286361,9.0100962869255,597.301142133035,134.087675266863,1.13477546229531,0.928428307188835,330.616880089068,7.77471883676494,10.9519923815869,330.616880089068,12.4721327660745,15.2139406964534,16.8948211570848,19.438410394502,22.4745405794523,25.687642855867,28.3077317530786,28.3119117277215,27.4166279249815,23.5464585937456,17.4158509683883,12.9474898952167,3.84923764567078,5.21068077875533,5.73559823185136,7.10127174212314,9.07817443830699,11.0516593289272,11.963505112712,12.3293589801346,12.0803832731885,9.91842364307584,6.96395542098275,4.36709593938213,134.087675266863,89.0159205099469,77.7269092844909,47.4150063920192,11.3948093781915,4.26697157449959,1.13477546229531,2.37297179997004,7.44424511932158,39.3589824963129,75.5695905368658,107.513284312257,24.9704972064521,-1.23418022467199,2.08995039937108
"7","ALH",7,37.96547,-122.19386,142,20.8208339907297,27.435753164602,8.29932643144484,4.499409395073,597.304393772871,729.149513440028,459.938659628557,14.5740376603198,12.5398512314546,0.512611629840405,4.51672899988565,28.3119117277215,3.84923764567078,24.4626740820507,9.0100962869255,19.6086349597401,20.0682531286361,9.0100962869255,597.301142133035,134.087675266863,1.13477546229531,0.928428307188835,330.616880089068,7.77471883676494,10.9519923815869,330.616880089068,12.4721327660745,15.2139406964534,16.8948211570848,19.438410394502,22.4745405794523,25.687642855867,28.3077317530786,28.3119117277215,27.4166279249815,23.5464585937456,17.4158509683883,12.9474898952167,3.84923764567078,5.21068077875533,5.73559823185136,7.10127174212314,9.07817443830699,11.0516593289272,11.963505112712,12.3293589801346,12.0803832731885,9.91842364307584,6.96395542098275,4.36709593938213,134.087675266863,89.0159205099469,77.7269092844909,47.4150063920192,11.3948093781915,4.26697157449959,1.13477546229531,2.37297179997004,7.44424511932158,39.3589824963129,75.5695905368658,107.513284312257,24.9704972064521,-1.23418022467199,2.08995039937108
"8","ALH",8,37.96435,-122.19691,127,21.0469709177251,27.6794332445493,8.14453100580666,4.29250283294798,594.144548021009,748.970877363151,429.557055725271,14.6063389106244,12.9248320767879,0.517581128177284,4.55402773138265,28.576620528462,3.60501439146068,24.9716061370013,9.01285162111768,19.7036637134295,20.1391010736218,9.01285162111768,594.149789380733,134.488690770444,1.14182189223587,0.932222549916864,329.536154130909,7.78549036237137,11.1977781947913,329.536154130909,12.7155869419549,15.3651540185808,16.9943185765299,19.7326652966776,22.7191980371592,25.9556004929176,28.5061120504566,28.576620528462,27.6906072420493,23.8356164617253,17.540638202859,13.1929415388489,3.60501439146068,5.08227335945091,5.59254981186111,6.92515877006911,8.92758084958586,11.037208585827,11.965088434998,12.1813521879158,11.9148259978489,9.65911610133428,6.72076650000429,4.11613947640985,134.488690770444,88.2547955290042,77.1529723806956,47.1456560547476,11.2542302791245,4.21843415566858,1.14182189223587,2.42523431446691,7.63072198808859,37.7285814192725,75.9159827655239,106.792667831461,25.1192364206284,-1.13907600521881,1.99579408338648
"9","ANG",9,38.05775,-120.62022,454,23.0057448912836,33.221623112598,7.81928465189378,2.38787447195147,728.017824364605,882.10141392188,386.922321336224,15.4307325979446,15.212722142319,0.459949988301127,6.63567287102431,34.8614097510365,1.78667873841318,33.0747310126233,7.99801278218307,23.7287256580634,23.8561886153008,7.99801278218307,728.02143700627,149.52626933742,2.51862742607853,0.879432651365242,385.213854118009,12.528182433002,15.0162438477536,385.213854118009,12.5459050169586,15.2546907582431,16.4427144947141,20.1345882550894,25.485067162421,30.730179206848,34.8614097510365,34.0732816742047,31.1376657053277,25.1652510429637,17.5618810664481,13.052489894994,1.78667873841318,3.33084619876762,3.65702242885251,5.44409163899457,8.88388491285493,12.2827992555423,15.5136731056512,14.9110109550981,12.640090500487,8.7797543229697,4.64514017806793,2.01746608572185,149.52626933742,111.335063773005,99.3000150818866,70.8243659671397,23.2205669632698,6.37586230022813,2.51862742607853,3.63369270669542,8.86392371497968,36.5749649826365,91.4955637453471,124.352521007582,26.9153872172305,0.321402839010802,-1.06576838832609
"10","ANG",10,38.0532,-120.62196,452,22.839503862862,33.0827001333213,7.833864335379,2.37389027964727,736.213988611113,878.459807729127,387.623748635599,15.3553252217869,15.0324950011003,0.457312618041448,6.65819790854299,34.6903809962032,1.81900503137493,32.8713759648282,7.92619127240978,23.684898624887,23.8222606945187,7.92619127240978,736.210030364711,151.277192120514,2.59105732516311,0.879077437727079,389.658374860755,12.8014916616284,15.2391924048808,389.658374860755,12.3995869692963,15.0443006861435,16.1571722641711,19.9405133024585,25.3386757088087,30.6133910960847,34.6903809962032,33.944370784918,30.9930167821488,24.9621104883704,17.3555735491372,13.0197800403046,1.81900503137493,3.24682622088359,3.6095483359799,5.40159790886678,8.84220647481972,12.3336901581497,15.5427454911538,14.9848132228124,12.7782368898761,8.82185173108339,4.66076250338502,2.02764868645558,151.277192120514,112.596242710771,100.329619577678,71.5058258172539,23.6581888365935,6.46429183665107,2.59105732516311,3.7461424998143,8.90199257990346,37.0089545381878,92.345582492711,125.784940029468,26.7564360305515,0.214110874227481,-1.06597809263148
